LON	        LAT	        NOM
-0.088055559	16.238889694	Goram-Goram I
-0.101111114	16.227500916	Goram-Goram II
-0.088888891	16.240833282	Goram-Goram III
-0.096111111	16.250000000	Gorom-Gorom
-1.302222252	15.823888779	GOSSI
0.058055561	16.117776871	Gounda
0.055833332	16.120000839	Gounda Djindé
-3.671944380	16.395000458	Goundam
-3.670000076	16.396110535	Goundam
-3.660000086	16.418611526	GOUNDAM-VILLE
0.035000000	16.171112061	Goura
0.006111111	16.198055267	Gourabon
-1.920555592	16.881389618	GOURMA-RHAROUS
-1.919166684	16.884166718	GOURMA-RHAROUS
-1.705000043	16.951944351	GOURZOUGUEYE
0.298055559	15.834166527	GoutchineBero
3.130278111	17.896390915	Gueljat
-3.514166594	16.156944275	Guédiou Haoussa
-3.245555639	16.224166870	HAIBONGO
-3.244722128	16.225833893	HAIBONGO
-2.998333216	16.766387939	HAMABANGOU
-0.110833332	16.614166260	Hamakouladji
2.899722338	15.624166489	HANOUZIGREN
0.132222220	15.996666908	Haoussa Foulane
0.131388888	15.992777824	Haoussafoulane
2.535277843	16.162500381	Haria
-2.690555573	16.033332825	HARIBOMO
-2.688333273	16.030555725	HARIBOMO
-2.475277662	17.187778473	Hassi Dima
-2.844444513	17.020833969	Hassi Hel Attak
-3.009999990	16.773611069	Hehiya alkaya
0.392777771	15.529999733	Herba
-2.965555668	16.665277481	HONDOU BOMO KAINA
-2.963888884	16.665555954	HONDOU BOMO KAINA
-2.961666584	16.665000916	HONDOU BOMO KAINA
-0.043055557	16.272222519	Hopital
2.558333397	17.173055649	Ibalaghane
-3.527222157	16.464721680	Ibrikas 1
-3.536111116	16.426111221	Ibrikas 2
-3.099999905	16.998056412	Idzid
0.532777786	16.230556488	IGDALINTA
0.821388900	20.546670914	Ikadawatane
0.397777766	16.254444122	Ikefoulane
-2.908055544	16.645833969	ILOA
-2.909444332	16.646110535	ILOA
-2.146389008	15.648611069	IMADIATAFANE
-2.146389008	15.649167061	IMADIATAFANE
3.021944523	16.055276871	Imakara
0.716388881	16.308610916	Imema
0.707777798	16.307777405	Imema
0.707499981	16.309165955	Imenas
0.178611115	16.534166336	Imnaguil
0.259999990	16.668056488	In Assiwantite
0.240799993	16.607200623	In Dabeian
1.523055553	15.867221832	In deliman
2.183888912	16.486110687	In Kadéwan
0.206388891	16.766666412	In Tagat
1.396111012	18.456670761	IN TIDBAN
-0.476388901	15.522500038	In Tillit
-2.278055668	17.227500916	INA KOUNDER-ERTECK
0.737222195	15.566944122	Inabaguine
3.142222166	16.190277100	Inalakam
1.933055520	15.524444580	Inarabane
2.136111021	15.874722481	Inazol
3.378333092	15.606666565	Inchinanane
-0.094722219	17.521944046	IN-DABAKOR
-0.082777776	16.778610229	Indiadiane
2.975555658	15.889721870	Inedgam
3.157500029	15.949166298	Inekar
2.731388807	17.139444351	Infalfalane
0.276388884	16.896667480	IN-FARKA
2.058611155	16.284999847	Inhinita
2.059721947	16.284721375	Inhinita
3.017499924	15.474444389	Injokok
-1.434444427	17.846389771	INMILACH
0.518333316	16.399999619	IN-ORFAN
2.520833015	18.629440308	INOUNFASSANE
2.900556087	17.731670380	INTADJEDITT
-3.948333263	16.188333511	INTALASSA
2.629167080	17.543609619	INTEDJAZAL
1.363055944	18.456670761	Intidbane
1.384999990	18.464450836	Intidbane 1 équipe
0.393055558	16.760000229	Intimarwélène
3.155555487	15.948611259	Inékar
-3.177777767	16.628889084	Issafaye Dongoï
-3.011666775	16.788888931	Jardin
-3.013333321	16.778888702	Jardin
-3.011666775	16.772499084	Jardin
-2.996944427	16.748056412	Jardin
-2.993888855	16.768611908	Jardin
-2.993333340	16.744443893	Jardin
-2.991666555	16.763055801	Jardin
-2.991944551	16.762500763	jardin
0.115000002	17.479722977	Jardin des femmes
-3.161666632	16.173334122	KABAIKA
-3.158888817	16.171943665	KABAIKA
-2.985833406	16.709444046	KABARA
-4.537499905	15.840000153	KABARA
-2.967222214	16.698055267	KABARA
0.203055561	16.651945114	Kachia Moumini
-0.062500000	16.196666718	Kadji
-0.067222223	16.193611145	Kadji
-0.038055554	16.195278168	Kadji1
-0.068055555	16.195278168	Kadji2
0.762777805	15.364999771	Kamagala
0.750833333	15.370833397	Kampgala So
-3.708055496	16.202777863	Karango
0.267777771	17.070833206	KASSAMBAR
0.267777771	17.069999695	Kassambéré
-3.289999962	16.480556488	Katoua
-2.741388798	16.008054733	Kaye Kaye
-2.681944370	15.840833664	Kaye Kaye Oyodou
-3.600277662	16.253334045	Kel Djibarou
-2.861944437	15.760000229	Kel Gerou Ada
-3.490277767	16.400833130	Kel Haoussa 4
-0.435277790	16.185556412	KEL RAZZAF
-0.246666670	15.535833359	Kel Tamoukassene
-2.679722309	16.727777481	KHAGA
-2.674722195	16.724721909	KHAGA
-3.368888855	16.340278625	Koïgour
-0.079999998	16.309722900	Koïma
-3.001944542	16.768611908	Koïratao
-3.398333311	16.251388550	KOBE
0.118888892	16.058332443	Kobe
-0.094999999	16.250000000	Kocey
-3.474166632	16.364166260	KONDI
-0.453888893	16.968055725	Konkoron
-0.426944435	16.967777252	Konkoron
-3.025833368	16.663055420	Korioumé
-2.934444427	15.905833244	Koro Belah Est
0.747222245	15.394166946	Koundel
0.747500002	15.392777443	Kundel Bantia
-3.216111183	16.551944733	Késsoubibi
-3.218888998	16.551944733	Késsoubibi
-2.934999943	16.922222137	Lacracare
-4.910277843	15.715000153	LERE
-4.915833473	15.709444046	LERE
-4.902222157	15.717222214	LERE
-4.963611126	16.330278397	LERNEB
-3.581388950	16.214445114	Lessodji
-0.099166669	16.269443512	Lobbou
-0.066666670	16.399999619	Magnadaoué
-2.785833359	15.846111298	Mairie
-3.007499933	16.770277023	Mairie
0.724444449	15.182499886	Mairie Ouatagouna
-3.165833235	16.581111908	Makalfa Koïra
-3.712222338	16.186666489	Malibe
-3.166110992	16.583889008	Mankala Goungou
-2.618333340	16.094999313	Maraki
-3.006944418	16.773889542	Marché
-3.006944418	16.767778397	marché
-0.018055556	16.221944809	Marché
-4.901111126	15.693611145	Mare
-2.984722137	16.707221985	MAT.
-3.751111031	16.135555267	MAT.
0.889722228	15.584722519	Maternite
-0.412222236	16.969165802	Maza
-0.415555567	16.967777252	Maza
0.731666684	15.451389313	M'Balga
-3.372499943	16.574167252	Medina coura
2.403888941	15.923889160	Menaka
2.403055668	15.923610687	Menaka
2.398611069	15.918889046	Menaka école
-1.263333321	16.087778091	Milieu
-2.492777824	16.722778320	Milieu
-2.689166784	16.031665802	Milieu
-3.102499962	15.871944427	Milieu
-2.767499924	16.694999695	Milieu
-2.632222176	16.626667023	Milieu village
-3.315000057	16.188333511	MIMESSINGUE
-3.310555458	16.191667557	MIMESSINGUE
-3.005833387	16.438333511	Mise
-2.367222309	16.748332977	MODIAKOYE
-3.046111107	16.751111984	Mora
0.401666671	15.771389008	Moridomognon
-2.891111135	16.671112061	Mosquée
-2.853610992	16.668888092	Mosquée
-3.006111145	16.774999619	Mosquée
-3.004444361	16.772222519	Mosquée
-3.006944418	16.771944046	Mosquée
-3.005000114	16.773889542	Mosquée
-0.259444445	16.825555801	Moudakane
-3.988888979	15.931388855	MR
-3.993611097	15.930000305	MS
0.448888898	15.666110992	Mékara
